trabajo,nivel_educativo,grupo_etario,estado_civil,total_contactos,total_conversiones,tasa_conversion_pct,duracion_media_minutos,promedio_contactos_por_cliente
blue-collar,basic.9y,40-49,single,89,7,7.87,4.42,2.87
blue-collar,high.school,40-49,single,29,2,6.9,3.45,2.66
blue-collar,professional.course,40-49,single,13,1,7.69,5.2,2.08
blue-collar,Sin Información,40-49,single,17,1,5.88,4.23,2.88
entrepreneur,Sin Información,40-49,divorced,5,1,20.0,4.77,1.4
entrepreneur,university.degree,40-49,divorced,21,1,4.76,4.47,1.86
entrepreneur,basic.4y,40-49,married,55,3,5.45,4.7,2.64
entrepreneur,basic.6y,40-49,married,16,2,12.5,5.85,2.25
entrepreneur,basic.9y,40-49,married,45,0,0.0,3.74,2.33
entrepreneur,high.school,40-49,married,61,3,4.92,4.31,2.7
entrepreneur,professional.course,40-49,married,32,2,6.25,3.37,3.13
entrepreneur,university.degree,40-49,married,138,24,17.39,5.07,2.41
entrepreneur,high.school,40-49,Sin Información,1,0,0.0,13.75,6.0
entrepreneur,high.school,40-49,single,10,1,10.0,3.43,3.8
housemaid,basic.6y,40-49,divorced,6,0,0.0,3.2,3.33
housemaid,basic.9y,40-49,divorced,6,0,0.0,2.21,2.0
housemaid,high.school,40-49,divorced,6,1,16.67,6.3,3.17
housemaid,Sin Información,40-49,divorced,1,0,0.0,0.33,1.0
housemaid,basic.4y,40-49,married,122,6,4.92,3.85,2.84
housemaid,basic.6y,40-49,married,22,1,4.55,6.24,2.32
housemaid,basic.9y,40-49,married,18,0,0.0,3.16,2.56
housemaid,high.school,40-49,married,29,2,6.9,4.52,1.93
housemaid,professional.course,40-49,single,4,2,50.0,2.17,2.0
housemaid,university.degree,40-49,single,14,2,14.29,4.08,2.21
management,university.degree,40-49,divorced,74,3,4.05,3.41,2.62
management,basic.6y,40-49,married,37,6,16.22,5.17,2.05
management,basic.9y,40-49,married,58,4,6.9,4.55,2.29
management,high.school,40-49,married,96,4,4.17,4.44,2.44
management,professional.course,40-49,married,18,1,5.56,5.15,1.72
management,Sin Información,40-49,married,49,7,14.29,4.91,2.0
management,university.degree,40-49,married,462,40,8.66,4.19,2.47
management,basic.9y,40-49,single,6,0,0.0,4.85,1.67
management,high.school,40-49,single,11,1,9.09,3.96,1.27
management,university.degree,40-49,single,39,8,20.51,4.27,1.92
retired,basic.4y,40-49,divorced,2,0,0.0,2.13,2.0
retired,basic.4y,40-49,married,24,1,4.17,4.5,2.79
retired,professional.course,40-49,married,3,0,0.0,2.78,6.33
retired,basic.4y,40-49,single,5,0,0.0,5.0,1.6
retired,high.school,40-49,single,2,1,50.0,18.35,4.0
self-employed,basic.4y,40-49,married,26,2,7.69,3.54,2.81
self-employed,basic.9y,40-49,married,57,3,5.26,4.66,2.7
self-employed,high.school,40-49,married,36,3,8.33,3.87,2.31
self-employed,professional.course,40-49,married,35,3,8.57,4.67,2.97
self-employed,Sin Información,40-49,married,8,0,0.0,4.74,2.88
self-employed,university.degree,40-49,married,118,13,11.02,4.94,3.18
self-employed,university.degree,40-49,single,17,3,17.65,5.27,3.82
services,basic.6y,40-49,divorced,12,2,16.67,5.9,2.5
services,basic.9y,40-49,divorced,21,1,4.76,4.57,2.1
services,high.school,40-49,divorced,139,9,6.47,4.46,2.7
services,Sin Información,40-49,divorced,8,2,25.0,5.67,6.63
services,basic.4y,40-49,married,38,2,5.26,4.17,2.42
services,basic.6y,40-49,married,66,4,6.06,3.82,2.89
services,basic.9y,40-49,married,71,2,2.82,3.68,3.18
services,high.school,40-49,married,448,29,6.47,4.02,2.42
services,professional.course,40-49,married,43,3,6.98,3.78,3.23
services,Sin Información,40-49,married,32,2,6.25,3.25,3.03
services,university.degree,40-49,married,20,2,10.0,4.51,2.5
services,basic.6y,40-49,single,7,0,0.0,3.31,2.86
services,high.school,40-49,single,73,4,5.48,4.92,2.73
services,professional.course,40-49,single,9,1,11.11,3.62,2.56
services,university.degree,40-49,single,5,2,40.0,3.49,2.0
Sin Información,Sin Información,40-49,married,48,1,2.08,3.34,2.77
Sin Información,Sin Información,40-49,single,6,1,16.67,6.21,2.17
student,high.school,40-49,single,2,0,0.0,5.51,3.5
technician,high.school,40-49,divorced,48,3,6.25,4.57,2.69
technician,professional.course,40-49,divorced,151,10,6.62,3.75,3.05
technician,university.degree,40-49,divorced,66,7,10.61,4.05,2.44
technician,basic.4y,40-49,married,13,0,0.0,5.34,1.85
technician,basic.6y,40-49,married,22,2,9.09,4.24,2.27
technician,basic.9y,40-49,married,93,7,7.53,5.09,2.57
technician,high.school,40-49,married,139,13,9.35,4.17,2.81
technician,professional.course,40-49,married,556,43,7.73,3.95,2.74
technician,university.degree,40-49,married,176,14,7.95,4.02,2.49
technician,basic.9y,40-49,single,11,0,0.0,4.34,1.91
technician,high.school,40-49,single,32,2,6.25,3.37,2.41
technician,professional.course,40-49,single,134,6,4.48,3.54,2.24
technician,Sin Información,40-49,single,18,1,5.56,3.66,3.33
technician,university.degree,40-49,single,95,9,9.47,4.44,2.56
unemployed,basic.4y,40-49,divorced,6,0,0.0,4.52,2.0
unemployed,high.school,40-49,divorced,14,0,0.0,2.95,2.5
unemployed,university.degree,40-49,divorced,8,1,12.5,5.64,2.63
unemployed,basic.4y,40-49,married,19,0,0.0,4.71,4.05
unemployed,basic.9y,40-49,married,56,9,16.07,3.89,2.88
unemployed,high.school,40-49,married,50,5,10.0,4.01,1.96
unemployed,professional.course,40-49,married,37,9,24.32,3.91,2.41
unemployed,university.degree,40-49,married,34,1,2.94,4.42,2.29
unemployed,basic.4y,40-49,single,9,1,11.11,2.95,1.89
unemployed,high.school,40-49,single,5,0,0.0,2.94,2.6
admin.,basic.4y,40-49,married,15,0,0.0,3.12,2.67
admin.,basic.6y,40-49,single,7,0,0.0,3.55,2.43
blue-collar,university.degree,40-49,single,5,1,20.0,7.47,1.4
entrepreneur,basic.9y,40-49,divorced,10,0,0.0,2.87,2.1
entrepreneur,high.school,40-49,divorced,8,1,12.5,3.04,3.25
entrepreneur,professional.course,40-49,divorced,10,0,0.0,2.34,2.5
entrepreneur,basic.4y,40-49,single,2,0,0.0,4.36,2.0
entrepreneur,professional.course,40-49,single,4,0,0.0,3.3,1.75
entrepreneur,university.degree,40-49,single,21,0,0.0,2.73,2.76
housemaid,university.degree,40-49,divorced,3,0,0.0,5.8,3.0
housemaid,university.degree,40-49,married,22,2,9.09,4.93,2.5
housemaid,basic.4y,40-49,single,8,2,25.0,5.59,2.63
management,basic.6y,40-49,divorced,5,0,0.0,3.41,2.0
management,basic.9y,40-49,divorced,5,0,0.0,2.29,2.0
management,high.school,40-49,divorced,13,0,0.0,3.64,1.69
management,Sin Información,40-49,single,1,0,0.0,2.57,2.0
self-employed,professional.course,40-49,divorced,11,2,18.18,6.16,2.82
self-employed,university.degree,40-49,divorced,28,5,17.86,5.71,3.04
self-employed,basic.6y,40-49,married,8,1,12.5,3.34,2.88
services,basic.9y,40-49,single,8,1,12.5,4.0,2.63
services,Sin Información,40-49,single,12,3,25.0,5.15,3.33
Sin Información,basic.6y,40-49,married,9,0,0.0,4.23,3.11
Sin Información,Sin Información,40-49,Sin Información,4,2,50.0,5.1,6.0
Sin Información,basic.6y,40-49,single,1,0,0.0,2.08,1.0
Sin Información,basic.9y,40-49,single,5,0,0.0,3.75,1.8
student,Sin Información,40-49,married,1,0,0.0,1.15,5.0
technician,basic.4y,40-49,divorced,5,0,0.0,6.75,1.6
technician,Sin Información,40-49,married,26,3,11.54,5.07,1.88
unemployed,professional.course,40-49,divorced,4,0,0.0,4.49,4.25
unemployed,Sin Información,40-49,married,4,2,50.0,4.11,4.5
blue-collar,university.degree,40-49,married,8,1,12.5,4.55,2.38
entrepreneur,Sin Información,40-49,married,15,0,0.0,4.16,3.0
entrepreneur,Sin Información,40-49,single,2,0,0.0,3.26,2.0
housemaid,basic.4y,40-49,divorced,20,1,5.0,4.56,2.25
housemaid,professional.course,40-49,married,14,3,21.43,6.98,2.29
housemaid,Sin Información,40-49,married,4,0,0.0,3.48,2.75
housemaid,high.school,40-49,single,5,0,0.0,2.87,2.2
management,Sin Información,40-49,divorced,6,1,16.67,3.16,1.5
retired,illiterate,40-49,divorced,2,1,50.0,2.28,3.5
retired,basic.9y,40-49,married,16,0,0.0,4.1,4.25
self-employed,basic.6y,40-49,divorced,1,0,0.0,1.57,3.0
self-employed,high.school,40-49,divorced,5,1,20.0,6.56,3.8
self-employed,basic.4y,40-49,single,1,0,0.0,1.67,2.0
self-employed,professional.course,40-49,single,10,2,20.0,4.73,3.2
services,university.degree,40-49,divorced,2,2,100.0,4.99,1.0
Sin Información,high.school,40-49,divorced,1,0,0.0,0.95,2.0
Sin Información,university.degree,40-49,married,7,0,0.0,4.52,1.86
Sin Información,university.degree,40-49,single,3,2,66.67,5.4,3.33
technician,basic.6y,40-49,divorced,1,0,0.0,3.68,1.0
technician,basic.9y,40-49,divorced,18,1,5.56,4.22,3.28
unemployed,basic.6y,40-49,married,11,1,9.09,5.64,2.18
unemployed,university.degree,40-49,single,5,1,20.0,4.42,2.0
housemaid,professional.course,40-49,divorced,3,0,0.0,4.03,2.67
housemaid,basic.9y,40-49,single,4,0,0.0,3.34,1.25
management,basic.4y,40-49,married,24,1,4.17,4.88,2.92
management,basic.4y,40-49,single,2,0,0.0,9.22,2.0
retired,high.school,40-49,married,7,1,14.29,3.51,1.43
self-employed,basic.9y,40-49,divorced,7,0,0.0,3.95,1.29
self-employed,high.school,40-49,single,5,0,0.0,4.06,1.2
services,professional.course,40-49,divorced,6,0,0.0,3.21,2.67
Sin Información,high.school,40-49,married,14,0,0.0,2.88,2.07
technician,Sin Información,40-49,divorced,14,0,0.0,2.5,1.86
unemployed,basic.9y,40-49,divorced,13,0,0.0,3.46,3.15
unemployed,Sin Información,40-49,single,1,0,0.0,1.45,3.0
admin.,Sin Información,40-49,divorced,3,0,0.0,1.58,3.0
blue-collar,illiterate,40-49,married,4,0,0.0,8.82,1.25
entrepreneur,basic.4y,40-49,divorced,2,0,0.0,2.04,1.5
entrepreneur,basic.6y,40-49,divorced,1,0,0.0,2.2,1.0
housemaid,Sin Información,40-49,single,1,0,0.0,3.9,2.0
retired,professional.course,40-49,divorced,4,0,0.0,2.98,3.25
retired,basic.9y,40-49,single,1,0,0.0,1.92,1.0
self-employed,basic.6y,40-49,single,1,0,0.0,4.13,2.0
Sin Información,Sin Información,40-49,divorced,1,0,0.0,3.15,1.0
Sin Información,professional.course,40-49,married,1,0,0.0,2.82,9.0
student,Sin Información,40-49,single,5,2,40.0,4.8,3.6
technician,basic.6y,40-49,single,1,0,0.0,0.13,9.0
unemployed,basic.6y,40-49,divorced,2,0,0.0,2.86,2.0
retired,university.degree,40-49,divorced,2,0,0.0,4.56,3.0
retired,basic.6y,40-49,married,2,0,0.0,5.23,1.5
self-employed,basic.9y,40-49,single,4,0,0.0,5.18,4.25
services,basic.4y,40-49,divorced,7,1,14.29,6.61,3.43
Sin Información,basic.9y,40-49,married,2,0,0.0,4.51,2.0
Sin Información,basic.4y,40-49,single,1,0,0.0,3.15,5.0
Sin Información,high.school,40-49,single,1,0,0.0,1.38,3.0
technician,basic.6y,40-49,Sin Información,1,0,0.0,3.28,1.0
unemployed,professional.course,40-49,single,2,0,0.0,4.42,2.0
blue-collar,Sin Información,40-49,Sin Información,1,0,0.0,2.7,7.0
management,basic.4y,40-49,divorced,2,0,0.0,3.69,3.5
management,professional.course,40-49,divorced,1,0,0.0,2.65,2.0
retired,university.degree,40-49,married,2,0,0.0,9.98,6.0
services,basic.4y,40-49,single,5,0,0.0,3.13,3.0
Sin Información,basic.4y,40-49,married,6,0,0.0,3.73,1.67
retired,basic.6y,40-49,single,5,0,0.0,3.73,3.2
self-employed,Sin Información,40-49,single,1,0,0.0,3.37,1.0
Sin Información,basic.4y,40-49,divorced,1,0,0.0,1.57,1.0
admin.,basic.4y,40-49,divorced,1,0,0.0,3.78,1.0
admin.,basic.4y,40-49,single,1,0,0.0,5.67,2.0
retired,Sin Información,40-49,married,1,0,0.0,0.15,5.0
unemployed,basic.9y,40-49,single,3,1,33.33,3.57,1.33
admin.,university.degree,40-49,Sin Información,2,1,50.0,13.51,1.0
management,professional.course,40-49,single,1,0,0.0,4.13,1.0
self-employed,Sin Información,40-49,divorced,2,0,0.0,6.12,1.0
unemployed,high.school,40-49,Sin Información,1,0,0.0,1.22,1.0
admin.,basic.4y,50-59,divorced,3,2,66.67,5.26,6.0
admin.,basic.9y,50-59,divorced,27,1,3.7,3.05,2.67
admin.,high.school,50-59,divorced,69,10,14.49,4.03,2.22
admin.,university.degree,50-59,divorced,186,21,11.29,4.54,2.64
admin.,basic.4y,50-59,married,34,3,8.82,4.83,2.18
admin.,basic.6y,50-59,married,22,0,0.0,3.24,2.09
admin.,basic.9y,50-59,married,76,10,13.16,4.08,2.88
admin.,high.school,50-59,married,255,22,8.63,3.85,2.68
admin.,professional.course,50-59,married,38,9,23.68,6.04,2.74
admin.,Sin Información,50-59,married,39,9,23.08,4.96,2.56
admin.,university.degree,50-59,married,404,66,16.34,4.26,3.0
admin.,basic.9y,50-59,single,8,1,12.5,4.58,1.5
admin.,high.school,50-59,single,24,5,20.83,4.5,2.58
admin.,university.degree,50-59,single,76,15,19.74,3.94,2.3
blue-collar,basic.4y,50-59,divorced,82,8,9.76,3.89,2.54
blue-collar,basic.6y,50-59,divorced,13,1,7.69,5.44,3.92
blue-collar,basic.9y,50-59,divorced,41,2,4.88,4.56,3.17
blue-collar,high.school,50-59,divorced,12,2,16.67,3.31,2.92
blue-collar,professional.course,50-59,divorced,8,2,25.0,3.64,1.88
blue-collar,basic.4y,50-59,married,538,42,7.81,4.51,2.7
blue-collar,basic.6y,50-59,married,89,10,11.24,4.02,3.01
blue-collar,basic.9y,50-59,married,373,25,6.7,4.56,2.41
blue-collar,high.school,50-59,married,49,6,12.24,4.86,2.35
blue-collar,professional.course,50-59,married,50,4,8.0,5.47,2.82
blue-collar,Sin Información,50-59,married,70,3,4.29,4.35,2.29
blue-collar,university.degree,50-59,married,5,0,0.0,1.98,2.8
blue-collar,basic.4y,50-59,single,17,0,0.0,6.57,2.0
blue-collar,basic.9y,50-59,single,26,5,19.23,4.58,1.96
blue-collar,professional.course,50-59,single,1,0,0.0,7.08,2.0
entrepreneur,university.degree,50-59,divorced,37,2,5.41,3.4,3.3
entrepreneur,basic.4y,50-59,married,33,1,3.03,4.09,3.09
entrepreneur,basic.9y,50-59,married,47,4,8.51,4.05,2.98
entrepreneur,high.school,50-59,married,14,0,0.0,4.44,1.93
entrepreneur,professional.course,50-59,married,22,2,9.09,5.89,1.73
entrepreneur,Sin Información,50-59,married,16,1,6.25,3.44,2.25
entrepreneur,university.degree,50-59,married,103,6,5.83,4.11,2.3
housemaid,basic.4y,50-59,divorced,30,1,3.33,4.08,3.2
housemaid,high.school,50-59,divorced,13,0,0.0,4.92,2.54
housemaid,professional.course,50-59,divorced,3,1,33.33,5.11,2.0
housemaid,basic.4y,50-59,married,137,13,9.49,4.26,2.68
housemaid,basic.6y,50-59,married,16,2,12.5,5.16,2.44
housemaid,basic.9y,50-59,married,20,0,0.0,3.31,3.4
housemaid,Sin Información,50-59,married,19,3,15.79,2.61,1.84
housemaid,Sin Información,50-59,single,3,1,33.33,9.62,2.0
management,high.school,50-59,divorced,12,0,0.0,4.32,2.42
management,professional.course,50-59,divorced,8,1,12.5,2.93,2.38
management,university.degree,50-59,divorced,105,13,12.38,4.2,2.54
management,basic.4y,50-59,married,50,2,4.0,4.57,3.26
management,basic.6y,50-59,married,22,2,9.09,4.18,3.18
management,basic.9y,50-59,married,31,3,9.68,4.42,3.87
management,high.school,50-59,married,37,3,8.11,3.35,3.05
management,professional.course,50-59,married,22,2,9.09,4.81,2.18
management,Sin Información,50-59,married,24,1,4.17,3.94,2.54
management,university.degree,50-59,married,362,46,12.71,4.43,2.42
management,university.degree,50-59,single,11,1,9.09,4.29,1.91
retired,basic.4y,50-59,divorced,44,4,9.09,3.99,2.66
retired,high.school,50-59,divorced,29,4,13.79,4.41,3.45
retired,basic.4y,50-59,married,196,29,14.8,4.65,2.65
retired,professional.course,50-59,married,93,14,15.05,4.37,2.72
retired,university.degree,50-59,married,92,11,11.96,4.49,2.83
retired,university.degree,50-59,single,7,0,0.0,3.99,2.29
self-employed,university.degree,50-59,divorced,13,1,7.69,6.35,2.62
self-employed,basic.4y,50-59,married,31,1,3.23,3.89,2.48
self-employed,basic.9y,50-59,married,36,4,11.11,5.19,2.75
self-employed,high.school,50-59,married,10,1,10.0,3.34,3.6
self-employed,professional.course,50-59,married,21,2,9.52,3.64,5.48
self-employed,Sin Información,50-59,married,7,0,0.0,4.86,1.71
self-employed,university.degree,50-59,married,115,9,7.83,4.67,2.59
self-employed,basic.6y,50-59,Sin Información,2,0,0.0,11.38,2.0
self-employed,basic.9y,50-59,single,4,1,25.0,3.01,1.75
self-employed,university.degree,50-59,single,10,0,0.0,3.02,2.3
services,basic.4y,50-59,divorced,15,0,0.0,1.83,2.93
services,basic.6y,50-59,divorced,9,1,11.11,5.2,1.33
services,basic.9y,50-59,divorced,4,0,0.0,4.92,2.0
services,high.school,50-59,divorced,70,6,8.57,4.62,2.74
services,professional.course,50-59,divorced,7,0,0.0,4.45,5.14
services,Sin Información,50-59,divorced,5,0,0.0,3.74,2.8
services,basic.4y,50-59,married,33,2,6.06,4.19,2.15
services,basic.6y,50-59,married,26,2,7.69,3.28,2.19
services,basic.9y,50-59,married,25,2,8.0,3.12,2.84
services,high.school,50-59,married,219,14,6.39,3.99,3.11
services,professional.course,50-59,married,12,0,0.0,2.92,4.0
services,Sin Información,50-59,married,26,1,3.85,3.54,1.81
services,university.degree,50-59,married,11,1,9.09,3.32,2.36
services,basic.4y,50-59,single,4,0,0.0,6.03,4.0
services,basic.6y,50-59,single,7,0,0.0,5.91,1.0
services,high.school,50-59,single,29,1,3.45,3.71,2.79
Sin Información,basic.4y,50-59,married,27,3,11.11,4.13,3.56
Sin Información,Sin Información,50-59,married,38,4,10.53,2.85,3.74
Sin Información,Sin Información,50-59,single,2,0,0.0,5.89,1.0
technician,basic.9y,50-59,divorced,12,0,0.0,2.11,3.5
technician,professional.course,50-59,divorced,63,4,6.35,3.98,2.63
technician,university.degree,50-59,divorced,41,3,7.32,3.16,2.66
technician,basic.6y,50-59,married,18,1,5.56,4.59,3.61
technician,basic.9y,50-59,married,60,9,15.0,4.71,2.78
technician,high.school,50-59,married,97,13,13.4,4.76,2.36
technician,professional.course,50-59,married,346,41,11.85,4.15,2.44
technician,Sin Información,50-59,married,41,2,4.88,4.14,2.15
technician,university.degree,50-59,married,108,13,12.04,4.17,2.94
technician,basic.4y,50-59,single,2,0,0.0,2.54,3.0
technician,high.school,50-59,single,3,0,0.0,1.27,3.33
technician,professional.course,50-59,single,31,3,9.68,4.82,2.71
technician,university.degree,50-59,single,26,3,11.54,4.96,2.31
unemployed,basic.4y,50-59,married,22,4,18.18,4.47,3.23
unemployed,basic.9y,50-59,married,32,7,21.88,4.92,1.91
unemployed,high.school,50-59,married,30,2,6.67,3.67,3.7
unemployed,professional.course,50-59,married,22,2,9.09,5.09,1.86
unemployed,basic.9y,50-59,Sin Información,2,0,0.0,3.48,3.5
unemployed,university.degree,50-59,Sin Información,1,0,0.0,2.77,2.0
admin.,professional.course,50-59,divorced,14,2,14.29,3.82,1.79
admin.,Sin Información,50-59,divorced,21,2,9.52,3.6,2.76
admin.,illiterate,50-59,married,1,0,0.0,2.52,4.0
admin.,basic.6y,50-59,single,9,1,11.11,3.61,1.56
blue-collar,Sin Información,50-59,divorced,20,0,0.0,3.74,3.15
blue-collar,illiterate,50-59,single,1,0,0.0,4.32,3.0
entrepreneur,high.school,50-59,divorced,11,2,18.18,6.05,2.91
entrepreneur,Sin Información,50-59,divorced,5,0,0.0,3.36,4.2
entrepreneur,basic.6y,50-59,married,7,0,0.0,2.19,4.43
entrepreneur,illiterate,50-59,married,2,1,50.0,7.71,2.5
entrepreneur,basic.9y,50-59,single,6,1,16.67,5.64,2.33
entrepreneur,Sin Información,50-59,single,2,1,50.0,5.33,2.0
entrepreneur,university.degree,50-59,single,7,1,14.29,3.5,2.29
housemaid,high.school,50-59,married,19,3,15.79,3.3,3.53
housemaid,university.degree,50-59,married,18,3,16.67,4.93,2.61
retired,basic.9y,50-59,divorced,12,3,25.0,4.39,4.0
retired,professional.course,50-59,divorced,30,1,3.33,3.51,3.17
retired,university.degree,50-59,divorced,39,5,12.82,4.39,2.33
retired,basic.9y,50-59,married,67,6,8.96,5.02,3.3
retired,high.school,50-59,married,111,14,12.61,5.14,2.8
technician,high.school,50-59,divorced,13,2,15.38,3.83,2.31
technician,Sin Información,50-59,divorced,7,0,0.0,3.87,4.0
technician,basic.9y,50-59,single,2,0,0.0,3.37,3.0
unemployed,high.school,50-59,divorced,10,0,0.0,4.44,2.1
unemployed,university.degree,50-59,divorced,7,1,14.29,3.48,2.71
unemployed,basic.6y,50-59,married,5,2,40.0,3.42,1.8
admin.,basic.6y,50-59,divorced,6,0,0.0,4.31,3.83
admin.,basic.4y,50-59,single,1,0,0.0,12.93,4.0
admin.,Sin Información,50-59,single,9,0,0.0,3.49,2.11
blue-collar,basic.4y,50-59,Sin Información,3,1,33.33,12.29,1.67
blue-collar,high.school,50-59,single,1,0,0.0,2.07,1.0
blue-collar,Sin Información,50-59,single,9,0,0.0,2.39,3.78
entrepreneur,basic.4y,50-59,divorced,1,0,0.0,1.15,4.0
housemaid,basic.9y,50-59,divorced,1,0,0.0,4.53,2.0
housemaid,basic.4y,50-59,single,3,0,0.0,2.68,6.67
housemaid,university.degree,50-59,single,2,0,0.0,1.66,2.0
retired,basic.6y,50-59,divorced,2,0,0.0,3.19,2.0
retired,basic.6y,50-59,married,34,1,2.94,4.02,2.76
retired,basic.9y,50-59,single,2,0,0.0,2.13,4.0
self-employed,basic.9y,50-59,divorced,3,0,0.0,1.46,2.67
self-employed,basic.4y,50-59,single,2,0,0.0,3.53,11.5
self-employed,professional.course,50-59,single,1,0,0.0,2.32,1.0
services,professional.course,50-59,Sin Información,1,0,0.0,0.12,2.0
Sin Información,basic.6y,50-59,married,2,0,0.0,0.99,2.5
Sin Información,professional.course,50-59,married,4,0,0.0,2.3,1.5
technician,basic.4y,50-59,married,28,4,14.29,5.25,1.82
unemployed,Sin Información,50-59,married,5,0,0.0,5.36,3.4
unemployed,university.degree,50-59,married,18,1,5.56,4.81,1.89
unemployed,basic.4y,50-59,single,3,0,0.0,2.7,4.67
admin.,professional.course,50-59,single,3,0,0.0,3.74,2.33
housemaid,basic.6y,50-59,divorced,5,0,0.0,1.9,1.8
housemaid,professional.course,50-59,married,12,1,8.33,6.5,3.25
management,professional.course,50-59,single,3,0,0.0,2.12,3.67
retired,basic.4y,50-59,single,6,1,16.67,2.41,4.0
retired,professional.course,50-59,single,10,1,10.0,7.35,1.9
self-employed,basic.4y,50-59,divorced,1,0,0.0,1.37,2.0
self-employed,professional.course,50-59,divorced,4,0,0.0,5.22,1.25
services,university.degree,50-59,divorced,7,1,14.29,3.56,4.0
services,Sin Información,50-59,Sin Información,1,0,0.0,6.37,5.0
Sin Información,basic.9y,50-59,married,3,1,33.33,3.17,1.33
Sin Información,high.school,50-59,married,8,0,0.0,3.76,1.75
unemployed,basic.9y,50-59,divorced,3,1,33.33,4.07,3.0
unemployed,basic.9y,50-59,single,1,0,0.0,2.08,2.0
blue-collar,illiterate,50-59,married,3,0,0.0,1.69,2.0
blue-collar,basic.6y,50-59,Sin Información,1,0,0.0,13.87,18.0
housemaid,Sin Información,50-59,divorced,8,0,0.0,2.62,3.25
housemaid,university.degree,50-59,divorced,6,1,16.67,5.03,1.5
housemaid,basic.4y,50-59,Sin Información,1,0,0.0,3.3,13.0
housemaid,basic.9y,50-59,single,2,0,0.0,5.93,1.0
management,basic.6y,50-59,divorced,3,0,0.0,3.18,2.67
management,basic.9y,50-59,single,3,0,0.0,3.99,2.0
retired,high.school,50-59,single,15,0,0.0,6.26,2.07
self-employed,high.school,50-59,divorced,2,0,0.0,2.15,2.5
services,basic.9y,50-59,single,2,1,50.0,7.39,1.0
unemployed,basic.6y,50-59,single,1,0,0.0,1.52,1.0
blue-collar,basic.6y,50-59,single,3,0,0.0,3.25,2.0
entrepreneur,basic.9y,50-59,divorced,3,2,66.67,7.07,3.0
entrepreneur,professional.course,50-59,divorced,3,0,0.0,3.49,4.67
management,basic.4y,50-59,single,4,0,0.0,2.69,3.0
management,Sin Información,50-59,single,1,0,0.0,5.7,2.0
Sin Información,university.degree,50-59,married,3,1,33.33,3.77,1.0
Sin Información,Sin Información,50-59,Sin Información,1,0,0.0,3.83,1.0
technician,Sin Información,50-59,Sin Información,1,0,0.0,11.12,3.0
unemployed,professional.course,50-59,divorced,4,0,0.0,2.64,1.75
management,basic.9y,50-59,divorced,1,0,0.0,5.22,2.0
management,Sin Información,50-59,divorced,2,2,100.0,9.77,4.5
retired,Sin Información,50-59,married,30,1,3.33,2.82,2.03
Sin Información,basic.4y,50-59,divorced,1,0,0.0,9.12,12.0
Sin Información,basic.9y,50-59,single,3,0,0.0,2.69,5.0
technician,basic.6y,50-59,divorced,3,0,0.0,1.19,4.33
unemployed,basic.4y,50-59,divorced,4,4,100.0,5.41,2.5
retired,basic.4y,50-59,Sin Información,2,0,0.0,7.04,5.5
retired,Sin Información,50-59,single,3,0,0.0,2.67,10.0
self-employed,high.school,50-59,single,3,0,0.0,7.86,2.33
technician,basic.4y,50-59,divorced,2,0,0.0,4.89,2.0
blue-collar,basic.9y,50-59,Sin Información,1,0,0.0,3.0,6.0
housemaid,professional.course,50-59,single,5,1,20.0,3.31,1.2
management,university.degree,50-59,Sin Información,2,0,0.0,3.19,5.0
self-employed,Sin Información,50-59,divorced,1,0,0.0,8.18,2.0
self-employed,basic.6y,50-59,married,2,0,0.0,1.97,6.5
retired,Sin Información,50-59,divorced,1,0,0.0,6.88,2.0
retired,university.degree,50-59,Sin Información,1,0,0.0,4.22,1.0
technician,basic.6y,50-59,single,2,0,0.0,2.23,1.0
admin.,high.school,60+,divorced,6,0,0.0,2.32,1.17
admin.,professional.course,60+,divorced,1,1,100.0,8.02,1.0
admin.,basic.9y,60+,married,5,1,20.0,2.26,3.4
admin.,high.school,60+,married,23,13,56.52,4.46,1.91
admin.,professional.course,60+,married,7,3,42.86,4.44,1.43
admin.,Sin Información,60+,married,8,5,62.5,6.3,1.75
admin.,university.degree,60+,married,39,15,38.46,6.35,2.46
admin.,high.school,60+,single,3,0,0.0,6.67,1.33
admin.,university.degree,60+,single,2,0,0.0,1.62,1.0
blue-collar,basic.4y,60+,divorced,2,0,0.0,2.74,2.0
blue-collar,basic.4y,60+,married,21,2,9.52,2.7,1.71
blue-collar,basic.9y,60+,married,5,1,20.0,4.33,1.4
blue-collar,professional.course,60+,married,3,2,66.67,4.72,2.0
blue-collar,Sin Información,60+,married,7,1,14.29,3.05,2.86
entrepreneur,basic.4y,60+,married,8,0,0.0,2.87,1.88
entrepreneur,Sin Información,60+,married,1,0,0.0,2.17,2.0
housemaid,professional.course,60+,divorced,3,2,66.67,6.62,2.0
housemaid,basic.4y,60+,married,38,21,55.26,5.22,2.03
housemaid,high.school,60+,married,4,1,25.0,6.69,1.5
housemaid,illiterate,60+,married,1,0,0.0,2.93,7.0
housemaid,university.degree,60+,married,2,0,0.0,2.53,2.0
management,university.degree,60+,divorced,3,1,33.33,8.45,2.0
management,basic.4y,60+,married,2,1,50.0,1.63,3.0
management,professional.course,60+,married,3,0,0.0,4.67,2.33
management,Sin Información,60+,married,10,5,50.0,4.45,1.6
management,university.degree,60+,married,33,11,33.33,4.78,2.58
management,university.degree,60+,single,1,1,100.0,3.23,1.0
